title;link
A Fire Upon the Deep (Zones of Thought, #1);www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep
The Day of the Triffids;www.goodreads.com/book/show/530965.The_Day_of_the_Triffids
Doomsday Book (Oxford Time Travel, #1);www.goodreads.com/book/show/24983.Doomsday_Book
The Fall of Hyperion (Hyperion Cantos, #2);www.goodreads.com/book/show/77565.The_Fall_of_Hyperion
Red Mars (Mars Trilogy, #1);www.goodreads.com/book/show/77507.Red_Mars
The Sirens of Titan;www.goodreads.com/book/show/4982.The_Sirens_of_Titan
Timeline;www.goodreads.com/book/show/7669.Timeline
The Illustrated Man;www.goodreads.com/book/show/24830.The_Illustrated_Man
The Caves of Steel (Robot, #1);www.goodreads.com/book/show/41811.The_Caves_of_Steel
Foundation and Empire (Foundation, #2);www.goodreads.com/book/show/29581.Foundation_and_Empire
The Invisible Man;www.goodreads.com/book/show/17184.The_Invisible_Man
A Game of Thrones (A Song of Ice and Fire, #1);www.goodreads.com/book/show/13496.A_Game_of_Thrones
Xenocide (Ender's Saga, #3);www.goodreads.com/book/show/8648.Xenocide
The Lathe of Heaven;www.goodreads.com/book/show/59924.The_Lathe_of_Heaven
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch;www.goodreads.com/book/show/12067.Good_Omens
Anathem;www.goodreads.com/book/show/2845024-anathem
A Scanner Darkly;www.goodreads.com/book/show/14817.A_Scanner_Darkly
The Player of Games (Culture, #2);www.goodreads.com/book/show/18630.The_Player_of_Games
The Way of Kings (The Stormlight Archive, #1);www.goodreads.com/book/show/7235533-the-way-of-kings
To Say Nothing of the Dog (Oxford Time Travel, #2);www.goodreads.com/book/show/77773.To_Say_Nothing_of_the_Dog
Flatland: A Romance of Many Dimensions;www.goodreads.com/book/show/433567.Flatland
Altered Carbon (Takeshi Kovacs, #1);www.goodreads.com/book/show/40792913-altered-carbon
Gateway (Heechee Saga, #1);www.goodreads.com/book/show/218427.Gateway
Kindred;www.goodreads.com/book/show/60931.Kindred
Barrayar (Vorkosigan Saga, #7);www.goodreads.com/book/show/61905.Barrayar
The Shadow of the Torturer (The Book of the New Sun, #1);www.goodreads.com/book/show/60211.The_Shadow_of_the_Torturer
Space Trilogy: Out of the Silent Planet / Perelandra / That Hideous Strength;www.goodreads.com/book/show/30628.Space_Trilogy
Graceling (Graceling Realm, #1);www.goodreads.com/book/show/3236307-graceling
Throne of Glass (Throne of Glass, #1);www.goodreads.com/book/show/76703559-throne-of-glass
Alanna: The First Adventure (Song of the Lioness, #1);www.goodreads.com/book/show/13831.Alanna
Poison Study (Study, #1);www.goodreads.com/book/show/60510.Poison_Study
Vampire Academy (Vampire Academy, #1);www.goodreads.com/book/show/345627.Vampire_Academy
Moon Called (Mercy Thompson, #1);www.goodreads.com/book/show/71811.Moon_Called
Fire (Graceling Realm, #2);www.goodreads.com/book/show/6137154-fire
Sabriel (Abhorsen,  #1);www.goodreads.com/book/show/518848.Sabriel
Howl’s Moving Castle (Howl’s Moving Castle, #1);www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
The Final Empire (Mistborn, #1);www.goodreads.com/book/show/68428.The_Final_Empire
Magic Bites (Kate Daniels, #1);www.goodreads.com/book/show/38619.Magic_Bites
A Court of Thorns and Roses (A Court of Thorns and Roses, #1);www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses
His Dark Materials (His Dark Materials #1-3);www.goodreads.com/book/show/18116.His_Dark_Materials
Crown of Midnight (Throne of Glass, #2);www.goodreads.com/book/show/17167166-crown-of-midnight
Wild Magic (Immortals, #1);www.goodreads.com/book/show/13836.Wild_Magic
Clockwork Angel (The Infernal Devices, #1);www.goodreads.com/book/show/7171637-clockwork-angel
Ella Enchanted (Ella Enchanted, #1);www.goodreads.com/book/show/24337.Ella_Enchanted
First Test (Protector of the Small, #1);www.goodreads.com/book/show/153784.First_Test
Halfway to the Grave (Night Huntress, #1);www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Kushiel's Dart (Phèdre's Trilogy, #1);www.goodreads.com/book/show/153008.Kushiel_s_Dart
Shadow Kiss (Vampire Academy, #3);www.goodreads.com/book/show/2802316-shadow-kiss
A Court of Mist and Fury (A Court of Thorns and Roses, #2);www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury
Trickster's Choice (Daughter of the Lioness, #1);www.goodreads.com/book/show/34197014-trickster-s-choice
Blood Promise (Vampire Academy, #4);www.goodreads.com/book/show/5996153-blood-promise
Heir of Fire (Throne of Glass, #3);www.goodreads.com/book/show/20613470-heir-of-fire
The Mists of Avalon (Avalon, #1);www.goodreads.com/book/show/40605251-the-mists-of-avalon
The Blue Sword (Damar, #1);www.goodreads.com/book/show/407813.The_Blue_Sword
Frostbite (Vampire Academy, #2);www.goodreads.com/book/show/2282133.Frostbite
Daughter of the Forest  (Sevenwaters, #1);www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Terrier (Beka Cooper, #1);www.goodreads.com/book/show/13829.Terrier
Last Sacrifice (Vampire Academy, #6);www.goodreads.com/book/show/6527740-last-sacrifice
Spirit Bound (Vampire Academy, #5);www.goodreads.com/book/show/6479259-spirit-bound
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1);www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
In the Hand of the Goddess (Song of the Lioness, #2);www.goodreads.com/book/show/13835.In_the_Hand_of_the_Goddess
Dealing with Dragons (Enchanted Forest Chronicles, #1);www.goodreads.com/book/show/150739.Dealing_with_Dragons
A Great and Terrible Beauty (Gemma Doyle, #1);www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty
Lady Knight (Protector of the Small, #4);www.goodreads.com/book/show/153800.Lady_Knight
Bitten (Otherworld, #1);www.goodreads.com/book/show/11918.Bitten
The Golden Compass (His Dark Materials, #1);www.goodreads.com/book/show/119322.The_Golden_Compass
Lirael (Abhorsen, #2);www.goodreads.com/book/show/47624.Lirael
Dead Witch Walking (The Hollows, #1);www.goodreads.com/book/show/30264.Dead_Witch_Walking
Queen of Shadows (Throne of Glass, #4);www.goodreads.com/book/show/18006496-queen-of-shadows
The Hero and the Crown (Damar, #2);www.goodreads.com/book/show/77366.The_Hero_and_the_Crown
Magic Strikes (Kate Daniels, #3);www.goodreads.com/book/show/4345498-magic-strikes
The Woman Who Rides Like a Man (Song of the Lioness, #3);www.goodreads.com/book/show/13830.The_Woman_Who_Rides_Like_a_Man
Trickster's Queen (Daughter of the Lioness, #2);www.goodreads.com/book/show/34197390-trickster-s-queen
Green Rider (Green Rider, #1);www.goodreads.com/book/show/147843.Green_Rider
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1);www.goodreads.com/book/show/37442.Wicked
Bitterblue (Graceling Realm, #3);www.goodreads.com/book/show/12680907-bitterblue
Abhorsen (Abhorsen, #3);www.goodreads.com/book/show/334643.Abhorsen
Angelfall (Penryn & the End of Days, #1);www.goodreads.com/book/show/15863832-angelfall
Soulless (Parasol Protectorate, #1);www.goodreads.com/book/show/6381205-soulless
Magic Bleeds (Kate Daniels, #4);www.goodreads.com/book/show/6479550-magic-bleeds
Angels' Blood (Guild Hunter, #1);www.goodreads.com/book/show/3819326-angels-blood
"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)";www.goodreads.com/book/show/34494.The_Wee_Free_Men
The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3);www.goodreads.com/book/show/47953.The_Black_Jewels_Trilogy
Sunshine;www.goodreads.com/book/show/8088.Sunshine
Shadow and Bone (The Shadow and Bone Trilogy, #1);www.goodreads.com/book/show/10194157-shadow-and-bone
Grave Mercy (His Fair Assassin, #1);www.goodreads.com/book/show/9565548-grave-mercy
Crown Duel (Crown & Court, #1-2);www.goodreads.com/book/show/21060.Crown_Duel
The Iron King (The Iron Fey, #1);www.goodreads.com/book/show/6644117-the-iron-king
The Magicians' Guild (Black Magician Trilogy, #1);www.goodreads.com/book/show/28249.The_Magicians_Guild
Skinwalker (Jane Yellowrock, #1);www.goodreads.com/book/show/5585788-skinwalker
The Novice (Black Magician Trilogy, #2);www.goodreads.com/book/show/28250.The_Novice
Six of Crows (Six of Crows, #1);www.goodreads.com/book/show/23437156-six-of-crows
Eon: Dragoneye Reborn (Eon, #1);www.goodreads.com/book/show/2986865-eon
The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3);www.goodreads.com/book/show/96281.The_Deed_of_Paksenarrion
On the Edge (The Edge, #1);www.goodreads.com/book/show/6329547-on-the-edge
Lioness Rampant (Song of the Lioness, #4);www.goodreads.com/book/show/13837.Lioness_Rampant
